Depth(m),Voltage(V),Current(mA),# Counts
18.225,0.797771,5.318471,15843
18.25,0.731705,4.878035,14531
18.275,0.870382,5.802548,17285
18.3,0.704312,4.695414,13987
18.325,0.709146,4.727642,14083
18.35,0.917111,6.114076,18213
18.375,1.019432,6.796216,20245
18.4,0.664834,4.432227,13203
18.425,0.514122,3.427482,10210
18.45,0.630996,4.206638,12531
18.475,0.640664,4.271092,12723
18.5,0.697061,4.647074,13843
18.525,1.030712,6.871412,20469
18.55,0.821991,5.479942,16324
18.575,0.927535,6.183566,18420
18.6,0.770428,5.136187,15300
18.625,0.988817,6.592111,19637
18.65,0.938009,6.253391,18628
18.675,0.865498,5.769985,17188
18.7,0.701089,4.673929,13923
18.725,0.818769,5.458457,16260
18.75,0.819574,5.463829,16276
18.775,0.747819,4.985458,14851
18.8,0.746258,4.975052,14820
18.825,0.568959,3.793057,11299
18.85,0.948533,6.323552,18837
18.875,0.750286,5.001907,14900
18.9,0.843745,5.624964,16756
18.925,0.798576,5.323842,15859
18.95,0.925974,6.173159,18389
18.975,0.643081,4.287205,12771
19,0.757537,5.050248,15044
19.025,0.680142,4.534279,13507
19.05,0.762321,5.082139,15139
19.075,0.673696,4.49131,13379
19.1,0.609998,4.066651,12114
19.125,0.688199,4.587991,13667
19.15,0.688199,4.587991,13667
19.175,2.279007,15.193378,45259
19.2,2.190332,14.602212,43498
19.225,2.129906,14.199373,42298
19.25,2.06948,13.796535,41098
19.275,2.071092,13.807279,41130
19.3,2.191138,14.607583,43514
19.325,0.896164,5.974425,17797
19.35,0.861469,5.743129,17108
19.375,1.760856,11.739039,34969
19.4,1.768913,11.792751,35129
19.425,1.748721,11.658137,34728
19.45,1.779336,11.862241,35336
19.475,2.048482,13.656549,40681
19.5,2.050144,13.667628,40714
19.525,2.005781,13.371876,39833
19.55,1.992891,13.285939,39577
19.575,2.189576,14.597177,43483
19.6,2.117015,14.113434,42042
19.625,2.200806,14.672038,43706
19.65,2.17583,14.50553,43210
19.675,2.212136,14.74757,43931
19.7,1.934882,12.899215,38425
19.725,2.192799,14.618661,43547
19.75,2.274173,15.161151,45163
19.775,2.106542,14.043612,41834
19.8,2.083982,13.893216,41386
19.825,1.948579,12.990524,38697
19.85,2.057345,13.715633,40857
19.875,1.910712,12.738079,37945
19.9,1.935688,12.904585,38441
19.925,1.918769,12.791791,38105
19.95,1.870428,12.46952,37145
19.975,1.975972,13.173143,39241
20,2.018672,13.457816,40089
20.025,1.930854,12.872358,38345
20.05,1.971943,13.146287,39161
20.075,1.930854,12.872358,38345
20.1,1.908295,12.721966,37897
20.125,1.984834,13.232227,39417
20.15,1.972749,13.15166,39177
20.175,1.904266,12.69511,37817
20.2,1.82526,12.168399,36248
20.225,2.156493,14.376623,42826
20.25,2.071092,13.807279,41130
20.275,2.123461,14.156404,42170
20.3,1.947773,12.985152,38681
20.325,2.123461,14.156404,42170
20.35,2.146019,14.306797,42618
20.375,2.170996,14.473304,43114
20.4,1.975166,13.167773,39225
20.425,1.909906,12.732707,37929
